---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
         aten::mkldnn_convolution         0.93%     442.328ms         0.94%     445.626ms       2.476ms           180                       [[4, 128, 40, 40], [255, 128, 1, 1], [255], [], [], [], []]  
                    aten::sigmoid         0.93%     443.811ms         0.93%     443.811ms       2.466ms           180                                                              [[4, 3, 80, 80, 85]]  
                      aten::silu_         0.92%     439.574ms         0.92%     439.574ms     135.671us          3240                                                                 [[4, 64, 40, 40]]  
                      aten::silu_         0.84%     398.121ms         0.84%     398.121ms       1.106ms           360                                                               [[4, 32, 160, 160]]  
                      aten::silu_         0.84%     397.822ms         0.84%     397.822ms       2.210ms           180                                                               [[4, 16, 320, 320]]  
                 aten::max_pool2d         0.00%     676.000us         0.83%     393.841ms       2.735ms           144                                            [[4, 128, 15, 20], [], [], [], [], []]  
                     aten::conv2d         0.01%       3.818ms         0.83%     393.274ms       2.185ms           180                       [[4, 128, 40, 40], [128, 128, 3, 3], [128], [], [], [], []]  
    aten::max_pool2d_with_indices         0.83%     393.165ms         0.83%     393.165ms       2.730ms           144                                            [[4, 128, 15, 20], [], [], [], [], []]  
                aten::convolution         0.02%       8.841ms         0.82%     392.346ms       2.180ms           180               [[4, 128, 40, 40], [128, 128, 3, 3], [128], [], [], [], [], [], []]  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 47.625s
